,TotalWealth,GeneralizedTrustingAgents,GeneralizedMistrustingAgents,AvgPersonalizedTrust,AvgGeneralizedTrust,NumberOfNodes,Increase,Decrease
0,-428.65793739147296,49,51,-0.2881086945615934,0.004058145721336791,100,3.2780492709024656,2.937512525947496
1,-715.8530914444174,49,51,-1.8555805109187051,0.00405814572133677,100,3.2780492709024656,2.937512525947496
2,-1009.6043440391672,49,51,2.191790752950094,0.004058145721336774,100,3.2780492709024656,2.937512525947496
3,-1303.3555966339168,49,51,0.8113733037542239,0.0040581457213368114,100,3.2780492709024656,2.937512525947496
4,-1597.1068492286668,49,51,1.7178757733889447,0.0040581457213368114,100,3.2780492709024656,2.937512525947496
5,-1890.8581018234156,49,51,2.1482072405662858,0.004058145721336781,100,3.2780492709024656,2.937512525947496
6,-2184.6093544181667,49,51,0.46450153905809877,0.004058145721336794,100,3.2780492709024656,2.937512525947496
7,-2478.360607012916,49,51,-0.33359346259153233,0.004058145721336757,100,3.2780492709024656,2.937512525947496
