,source,target,weight,info,step8
0,32,15,-0.17973870860354252,0,8
1,32,30,-0.21899315100188488,0,8
2,32,14,-0.21807969559748272,0,8
3,32,5,-0.2695465978187921,0,8
4,32,41,-0.3771869354204797,0,8
5,32,34,-0.47346317939608923,0,8
6,32,31,-0.7018546469564544,0,8
7,32,20,-0.6867826184684092,0,8
8,15,32,-0.05681777113515145,0,8
9,15,40,-0.0674453989177143,0,8
10,15,25,-0.05510855855788037,0,8
11,15,43,-0.06987246430616767,0,8
12,15,49,-0.050466006365385015,0,8
13,15,38,-0.03341045142757868,0,8
14,15,29,-0.05043028283826781,0,8
15,15,42,-0.04598527455317764,0,8
16,2,38,-0.2759598707251997,0,8
17,2,37,-0.2628413323509792,0,8
18,2,6,-0.12617199417009453,0,8
19,2,26,-0.2026919276246077,0,8
20,2,3,-0.25323025605895083,0,8
21,2,33,-0.1264611157897712,0,8
22,2,10,-0.22050809761566698,0,8
23,2,11,-0.23078598288861057,0,8
24,38,2,1.6179372812640291,0,8
25,38,1,1.74954417460003,0,8
26,38,43,1.4786143148255193,0,8
27,38,28,1.4519216701036812,0,8
28,38,46,1.453191166514453,0,8
29,38,15,1.0527766140865236,0,8
30,38,8,1.0326254331434932,0,8
31,38,25,1.4903758560796976,0,8
32,8,0,1.1962395455859414,0,8
33,8,45,0.9754011037591428,0,8
34,8,3,1.0430096529169877,0,8
35,8,13,1.0070298018519512,0,8
36,8,30,1.005165125651378,0,8
37,8,14,0.6377598340179926,0,8
38,8,38,1.441911862312853,0,8
39,8,24,1.4431607551613337,0,8
40,0,8,-0.06368411245937589,0,8
41,0,31,-0.07657181768090901,0,8
42,0,11,-0.0797682004517835,0,8
43,0,42,-0.08869165290588271,0,8
44,0,27,-0.08878126035732088,0,8
45,0,5,-0.16424148700512317,0,8
46,0,21,-0.2949605625973621,0,8
47,0,44,-0.3159672252132021,0,8
48,4,27,0.5923855608834193,0,8
49,4,22,0.6007540519806058,0,8
50,4,28,0.4681772954191697,0,8
51,4,36,0.23827288697605004,0,8
52,4,11,0.46213797697354375,0,8
53,4,39,0.6476584048941151,0,8
54,4,17,0.4648020371060871,0,8
55,4,7,0.24850402710312108,0,8
56,27,4,0.1367837009696229,0,8
57,27,42,0.24516846345967613,0,8
58,27,34,0.1346183684030836,0,8
59,27,11,0.24271391281141536,0,8
60,27,0,0.1906359966987194,0,8
61,27,25,0.2273460592286483,0,8
62,27,18,0.161842386946423,0,8
63,27,48,0.21184590831037764,0,8
64,37,3,0.0015684150582317797,0,8
65,37,2,0.0013683447005230342,0,8
66,37,17,0.0019813740481833078,0,8
67,37,18,0.0016545842572171067,0,8
68,37,39,0.00182340674600751,0,8
69,37,22,0.004062273965735391,0,8
70,37,5,0.004070767664789376,0,8
71,37,9,0.001936936592648381,0,8
72,3,37,0.058207986400110406,0,8
73,3,35,0.0675537957331878,0,8
74,3,8,0.07467541074388226,0,8
75,3,17,0.07060314234236074,0,8
76,3,2,0.04307372690902469,0,8
77,3,48,0.11905476204442167,0,8
78,3,42,0.05706377082306338,0,8
79,3,40,0.1086414033016955,0,8
80,23,6,-0.015542676401955172,0,8
81,23,7,-0.021344437748101176,0,8
82,23,19,-0.017851994979387865,0,8
83,23,26,-0.017721203491924672,0,8
84,23,22,-0.01635519067894876,0,8
85,23,5,-0.020274534735393795,0,8
86,6,23,0.40690096044855706,0,8
87,6,12,0.3954766413604671,0,8
88,6,2,0.4297721197397608,0,8
89,6,45,0.18459680079580865,0,8
90,6,21,0.45178963921491766,0,8
91,6,19,0.42499403393479157,0,8
92,6,47,1.068883893685074,0,8
93,46,45,-0.8183042291191243,0,8
94,46,14,-1.5666459474967227,0,8
95,46,22,-0.7369598731096831,0,8
96,46,21,-1.536959147760709,0,8
97,46,38,-1.735352918945431,0,8
98,46,29,-1.4959771889774578,0,8
99,46,28,-0.8468460984267614,0,8
100,46,36,-1.4828958614466934,0,8
101,45,46,0.7104423293490343,0,8
102,45,8,0.358285661309191,0,8
103,45,30,0.8685901789108742,0,8
104,45,6,0.6877745197740863,0,8
105,45,44,0.628904045235618,0,8
106,45,35,0.9118548348576511,0,8
107,45,7,0.7253481752504884,0,8
108,45,34,0.4301771273522176,0,8
109,5,7,0.6583714171253415,0,8
110,5,18,0.5794645773411642,0,8
111,5,1,0.48632684387020186,0,8
112,5,32,0.38541838190301436,0,8
113,5,9,0.4892216009925443,0,8
114,5,0,0.6862717339077897,0,8
115,5,37,0.4241353164382869,0,8
116,5,23,0.5981128514415845,0,8
117,7,5,0.9295170669700283,0,8
118,7,23,1.3912945987848375,0,8
119,7,48,1.017169024810259,0,8
120,7,30,1.6215210895577428,0,8
121,7,45,1.0987672908002182,0,8
122,7,4,1.7915656082802103,0,8
123,44,41,-0.3425283954396391,0,8
124,44,17,-0.32426377655911937,0,8
125,44,29,-0.4214346126091294,0,8
126,44,34,-0.1824743828978606,0,8
127,44,45,-0.36933772543306165,0,8
128,44,1,-0.3819812477357424,0,8
129,44,35,-0.2849862471323226,0,8
130,44,0,-0.44106543740718973,0,8
131,41,44,0.1383256548239203,0,8
